Date, Open, High, Low, Close
03/29/22, 4602.86, 4637.30, 4589.66, 4631.60
03/28/22, 4541.09, 4575.65, 4517.69, 4575.52
03/25/22, 4522.91, 4546.03, 4501.07, 4543.06
03/24/22, 4469.98, 4520.58, 4465.17, 4520.16
03/23/22, 4493.10, 4501.07, 4455.81, 4456.24
03/22/22, 4469.10, 4522.00, 4469.10, 4511.61
03/21/22, 4462.40, 4481.75, 4424.30, 4461.18
03/18/22, 4407.34, 4465.40, 4390.57, 4463.12
03/17/22, 4345.11, 4412.67, 4335.65, 4411.67
03/16/22, 4288.14, 4358.90, 4251.99, 4357.86
03/15/22, 4188.82, 4271.05, 4187.90, 4262.45
03/14/22, 4202.75, 4247.57, 4161.72, 4173.11
03/11/22, 4279.50, 4291.01, 4200.49, 4204.31
03/10/22, 4252.55, 4268.28, 4209.80, 4259.52
03/09/22, 4223.10, 4299.40, 4223.10, 4277.88
03/08/22, 4202.66, 4276.94, 4157.87, 4170.70
03/07/22, 4327.01, 4327.01, 4199.85, 4201.09
03/04/22, 4342.12, 4342.12, 4284.98, 4328.87
03/03/22, 4401.31, 4416.78, 4345.56, 4363.49
03/02/22, 4322.56, 4401.48, 4322.56, 4386.54
03/01/22, 4363.14, 4378.45, 4279.54, 4306.26
02/28/22, 4354.17, 4388.84, 4315.12, 4373.94
02/25/22, 4298.38, 4385.34, 4286.83, 4384.65
02/24/22, 4155.77, 4294.73, 4114.65, 4288.70
02/23/22, 4324.93, 4341.51, 4221.51, 4225.50
02/22/22, 4332.74, 4362.12, 4267.11, 4304.76
02/18/22, 4384.57, 4394.60, 4327.22, 4348.87
02/17/22, 4456.06, 4456.06, 4373.81, 4380.26
02/16/22, 4455.75, 4489.55, 4429.68, 4475.01
02/15/22, 4429.28, 4472.77, 4429.28, 4471.07
02/14/22, 4412.61, 4426.22, 4364.84, 4401.67
02/11/22, 4506.27, 4526.33, 4401.41, 4418.64
02/10/22, 4553.24, 4588.92, 4484.31, 4504.08
02/09/22, 4547.00, 4590.03, 4547.00, 4587.18
